Specification of reservoir parameters			
"Subasin-ID, water_storage_capacity[m**3], dam_height [m], spillway_discharge[m**3/s]"			
399	3429	"4,36"	"25,9"
400	1932	"3,95"	"10,58"
401	6876	"4,91"	"23,12"
402	519	"3,15"	"13,18"
403	1268	"3,67"	"15,16"
404	552	"3,18"	10
405	1620	"3,83"	"10,96"
406	3100	"4,28"	"20,38"
407	2087	4	"13,28"
408	1244	"3,66"	"10,88"
409	2293	"4,07"	"24,9"
410	39	"2,02"	"3,34"
411	9161	"5,16"	"27,01"
412	637	"3,26"	"8,4"
413	1741	"3,88"	"18,19"
414	60	"2,17"	"4,22"
415	112	"2,42"	"7,97"
416	728	"3,34"	"13,37"
417	205	"2,68"	"5,84"
418	278	"2,83"	"4,35"
419	407	"3,02"	"10,86"
420	500	"3,13"	"8,62"
421	5491	"4,73"	"17,71"
422	3793	"4,43"	"9,8"
423	645	"3,27"	"13,94"
424	386	"2,99"	"7,19"
425	33691	"6,46"	"83,51"
426	418	"3,03"	"4,52"
427	2293	"4,07"	"12,1"
428	7134	"4,95"	"15,91"
429	1972	"3,96"	"24,82"
430	383	"2,99"	"9,14"
431	4221	"4,52"	"12,92"
432	3044	"4,27"	"25,52"
433	7023	"4,93"	"19,94"
434	868	"3,44"	"6,34"
435	1950	"3,95"	"10,26"
436	2010	"3,98"	"12,21"
437	7982	"5,04"	"11,33"
438	1751	"3,88"	"13,23"
439	2001	"3,97"	"24,36"
440	781	"3,38"	"8,54"
441	808	"3,4"	"11,77"
442	3041	"4,27"	"14,21"
443	829	"3,41"	"16,9"
444	159	"2,57"	"6,71"
445	315	"2,89"	"8,53"
446	2687	"4,18"	"7,62"
447	2852	"4,22"	"11,63"
448	1488	"3,77"	"15,19"
449	840	"3,42"	"15,68"
450	841	"3,42"	"8,59"
451	923	"3,48"	"10,21"
452	133	"2,49"	"2,67"
453	1691	"3,86"	"8,6"
454	473	"3,1"	"2,48"
455	1192	"3,63"	"9,39"
456	1148	"3,61"	"6,72"
457	344	"2,93"	"5,92"
458	196	"2,66"	"9,49"
459	205	"2,68"	"8,48"
460	1882	"3,93"	"16,35"
461	166	"2,59"	"1,34"
462	269	"2,81"	"6,34"
463	461	"3,08"	"1,79"
464	2008	"3,97"	"27,03"
465	1452	"3,76"	"10,85"
466	373	"2,97"	"8,19"
